MOD15A2H.A2010161.h10v09.006.2021162170734.Fpar_500m,MOD15A2H,A2010161,Lat-3.834436Lon-73.31897Samp17Line17,2021162170734,0.87,0.87,F,0.68,0.68,0.68,0.51,F,F,F,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.87,F,0.63,0.69,0.71,0.63,0.71,F,0.61,0.77,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,F,0.74,0.74,0.89,0.9,0.9,0.72,0.72,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.71,0.74,0.71,0.71,0.71,0.71,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.64,0.64,0.64,0.71,0.71,0.71,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.9,0.9,0.64,0.64,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.66,0.88,0.9,0.9,0.63,0.63,F,0.87,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.51,0.59,0.59,0.63,F,0.63,0.45,0.87,F,F,0.87,0.89,0.89,0.89,0.89,0.89,0.89,0.42,0.59,0.59,0.61,F,F,F,0.89,0.87,0.87,0.87,0.89,0.89,0.89,0.89,0.9,0.9,0.77,0.5,F,0.61,0.61,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,F,F,0.68,0.66,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.71,0.71,0.71,F,F,0.56,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.71,0.71,0.71,0.67,0.67,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.59,0.45,0.67,0.67,F,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.7,F,0.61,0.63,F,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.61,0.49,0.32,F,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.67,0.47,0.27,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
MOD15A2H.A2010169.h10v09.006.2021163084632.Fpar_500m,MOD15A2H,A2010169,Lat-3.834436Lon-73.31897Samp17Line17,2021163084632,0.87,0.87,F,0.61,0.61,0.68,F,F,F,F,F,F,0.89,0.9,0.89,0.89,0.89,0.89,0.89,F,0.67,0.68,0.68,0.7,F,0.62,F,0.71,0.9,0.9,0.89,0.9,0.89,0.89,0.89,0.89,F,0.8,0.67,0.9,0.9,0.9,0.62,F,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.9,0.65,0.7,0.71,0.71,0.7,0.75,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.9,0.69,0.71,0.63,0.66,0.74,0.74,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.9,0.9,0.71,0.61,F,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.71,0.9,0.9,0.9,0.58,0.58,F,0.87,F,0.88,0.88,0.89,0.89,0.89,0.9,0.89,0.9,0.61,0.52,0.52,0.66,F,0.61,0.51,0.86,F,F,0.89,0.9,0.89,0.89,0.9,0.9,0.9,0.68,0.62,0.52,0.62,F,F,F,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.9,0.9,0.9,0.68,0.67,0.78,0.62,0.59,F,F,0.9,0.9,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,F,0.56,0.62,0.59,0.9,0.89,0.89,0.9,0.9,0.89,0.9,0.9,0.9,0.9,0.9,0.89,0.71,0.71,F,F,F,0.89,0.9,0.9,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.64,0.59,0.64,0.64,0.51,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.6,0.59,0.59,0.64,F,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.73,0.75,0.69,0.65,F,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.89,F,0.91,0.9,0.62,F,F,0.91,0.91,0.9,0.89,0.9,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.91,0.91,F,F,F,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9
MOD15A2H.A2010177.h10v09.006.2021165073146.Fpar_500m,MOD15A2H,A2010177,Lat-3.834436Lon-73.31897Samp17Line17,2021165073146,F,F,F,0.33,0.43,0.43,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.4,0.54,0.49,0.27,0.11,0.16,0.16,0.5,F,F,F,F,F,F,F,F,F,0.11,0.14,F,0.41,0.41,0.35,0.11,F,F,F,0.88,0.16,F,F,F,F,0.89,0.56,0.22,0.22,0.45,0.4,F,F,F,F,F,0.88,F,0.53,F,F,F,0.9,0.35,0.31,0.29,0.29,0.64,0.25,0.52,0.35,F,0.35,0.35,F,0.53,0.54,F,F,F,F,0.57,F,F,0.86,0.74,0.32,0.32,0.05,F,0.35,0.83,0.83,F,0.21,F,F,F,0.16,F,F,0.88,F,0.31,0.31,0.33,F,0.63,F,F,F,0.39,0.45,0.45,0.21,F,0.13,0.44,0.89,F,F,0.41,0.83,0.89,0.63,0.66,0.84,F,F,0.25,0.25,0.19,F,F,F,F,0.87,0.86,F,F,0.89,0.81,0.83,0.57,0.44,F,0.3,0.49,0.49,0.19,F,F,F,0.89,0.87,F,F,F,0.89,0.88,F,0.75,F,F,F,0.33,0.28,0.44,F,F,F,F,F,F,F,F,F,0.89,F,0.3,0.3,F,F,0.28,0.21,F,F,F,F,F,F,F,F,F,0.87,0.87,0.57,0.51,0.3,0.28,0.28,F,F,F,F,F,F,F,F,F,F,F,0.87,0.28,0.51,0.28,F,F,F,F,F,F,F,F,0.88,0.61,0.61,0.85,0.85,0.85,0.21,0.31,0.39,0.45,F,0.43,F,F,F,F,F,0.57,0.53,0.53,0.49,0.85,0.85,F,F,0.22,0.22,0.27,0.21,0.21,F,F,F,F,0.42,F,F,F,0.4,F,F,F,0.21,0.21,0.22,F,0.21,0.3,F,F,F,F,F,F,F,0.79,F
MOD15A2H.A2010185.h10v09.006.2021165170254.Fpar_500m,MOD15A2H,A2010185,Lat-3.834436Lon-73.31897Samp17Line17,2021165170254,0.89,0.89,F,0.53,0.59,0.29,0.39,F,F,F,F,F,0.9,0.9,0.9,0.9,0.9,0.89,0.89,F,0.25,0.38,0.38,0.41,0.49,0.51,0.51,0.8,0.9,0.89,0.89,0.9,0.9,0.9,0.89,0.89,F,0.59,0.36,F,F,0.73,0.51,0.51,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.9,0.9,0.59,0.59,0.6,0.58,0.58,0.58,0.26,0.9,0.9,0.9,0.9,0.9,0.9,0.9,F,F,F,0.39,0.35,0.6,0.6,0.58,0.4,0.86,0.9,0.9,0.9,0.9,0.81,0.81,F,0.89,0.86,0.86,F,0.36,0.45,F,F,0.26,0.26,0.83,0.83,F,F,0.81,0.81,0.81,0.58,F,F,F,0.34,0.45,F,F,F,0.33,0.83,0.83,0.73,F,F,F,0.9,0.6,0.55,0.55,0.35,F,0.35,0.57,F,F,F,0.85,0.85,0.82,F,F,F,F,0.63,0.49,0.49,0.43,F,F,F,0.88,0.88,0.88,0.85,F,F,F,F,F,F,0.55,0.55,0.47,0.47,0.41,F,F,0.79,0.7,0.7,F,0.89,F,F,F,F,F,0.9,F,0.48,0.35,0.34,0.37,F,0.79,0.73,0.64,0.89,0.89,0.89,0.89,F,F,F,0.58,0.58,0.41,0.41,0.37,0.37,0.82,0.82,0.73,0.82,F,F,0.88,0.89,F,F,F,0.58,0.58,0.58,0.58,0.56,0.88,0.85,0.85,F,0.82,0.9,0.89,0.9,0.9,F,F,F,0.6,0.53,0.53,0.53,F,0.88,0.85,0.85,F,F,0.9,0.9,0.9,0.9,F,F,F,0.73,0.57,0.59,0.53,F,0.88,0.85,0.85,F,F,0.9,0.9,0.89,F,F,F,F,0.9,0.85,0.71,0.76,0.54,0.85,0.83,0.83,0.89,0.89,0.9,0.9,F,F,F,F,F,0.9,F,0.45,0.53,0.53,0.9,0.9,0.9,0.89,0.89,F,F,F,F,F,F,F
MOD15A2H.A2010193.h10v09.006.2021166031150.Fpar_500m,MOD15A2H,A2010193,Lat-3.834436Lon-73.31897Samp17Line17,2021166031150,0.89,0.88,F,0.29,0.35,0.35,0.36,F,F,F,F,F,F,0.89,0.89,0.9,F,0.9,0.89,F,0.52,0.52,0.47,0.66,0.36,0.36,0.11,0.31,F,0.89,0.89,0.89,0.9,F,F,F,F,0.68,0.68,0.87,0.87,0.86,0.46,0.46,F,0.89,0.89,0.89,0.89,0.9,F,F,F,F,0.3,0.29,0.47,0.47,0.46,0.46,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,F,F,F,0.3,0.29,0.29,0.29,F,F,0.89,0.9,0.9,0.9,0.89,0.89,0.89,0.9,F,F,0.88,0.9,0.29,0.29,F,F,F,0.88,0.89,0.89,0.9,0.9,0.9,0.89,0.88,0.54,F,0.88,0.9,0.28,0.28,F,0.52,F,0.75,0.89,0.89,0.89,F,F,0.9,0.9,F,0.54,0.61,0.26,F,0.28,0.58,0.88,F,F,0.9,0.9,0.89,0.9,0.89,0.89,0.9,F,F,0.56,F,F,F,F,0.88,0.88,0.87,0.9,0.9,0.9,0.89,0.89,0.89,0.9,0.75,F,F,F,0.3,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.9,F,F,F,F,F,0.89,0.89,0.89,0.89,F,0.89,0.9,0.9,0.9,0.89,0.16,F,F,F,F,F,F,0.89,0.89,0.89,0.89,F,F,F,0.9,0.9,0.89,0.16,0.16,0.21,0.21,0.21,F,0.9,0.89,0.89,0.89,0.89,0.9,0.9,F,F,F,F,0.22,F,0.21,0.21,F,F,0.9,0.89,0.89,0.89,0.9,0.9,0.9,0.89,F,F,F,0.24,0.24,0.29,0.58,F,F,0.9,0.89,0.89,0.89,0.9,0.89,0.89,0.9,F,F,F,F,F,0.29,0.29,0.34,0.9,0.9,0.89,F,F,F,0.9,0.9,0.9,F,F,F,F,F,F,F,F,0.9,0.9,0.9,0.89,0.89,0.89,0.9,F,F,F,F,F
MOD15A2H.A2010201.h10v09.006.2021166172518.Fpar_500m,MOD15A2H,A2010201,Lat-3.834436Lon-73.31897Samp17Line17,2021166172518,0.88,0.88,F,0.6,0.56,0.76,0.73,F,F,F,F,F,0.82,0.89,0.89,0.89,0.89,0.89,0.89,F,0.63,0.63,0.73,0.68,0.69,0.69,0.78,0.65,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,F,0.75,0.52,0.9,0.9,0.91,0.65,0.65,0.91,0.9,0.9,0.89,0.89,0.9,0.9,0.89,0.89,0.9,0.59,0.63,0.63,0.58,0.69,0.69,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.9,0.59,0.57,0.56,0.58,0.69,0.69,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.89,0.9,0.83,0.6,0.52,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.72,0.9,0.9,0.9,0.64,0.63,F,0.89,F,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.49,0.49,0.59,0.59,F,0.61,0.51,0.85,F,F,0.81,0.9,0.9,0.89,0.9,0.9,0.9,0.49,0.57,0.57,0.65,F,F,F,0.9,0.9,0.89,0.89,0.9,0.89,0.89,0.9,0.9,0.9,0.71,0.5,0.55,0.55,0.68,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.91,0.55,0.55,0.53,0.6,0.89,0.89,0.89,0.9,0.9,0.89,0.9,0.9,0.9,0.9,0.9,0.53,0.56,0.6,0.6,0.63,0.63,F,0.89,0.89,0.9,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.57,0.57,0.41,0.41,0.65,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.6,0.48,0.41,0.41,F,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.75,0.58,0.66,0.65,F,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.66,0.66,0.65,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.86,0.57,0.65,0.65,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9
MOD15A2H.A2010209.h10v09.006.2021168001520.Fpar_500m,MOD15A2H,A2010209,Lat-3.834436Lon-73.31897Samp17Line17,2021168001520,0.87,0.87,F,0.55,0.55,0.49,0.61,F,F,F,F,F,F,0.81,0.81,0.9,0.89,0.83,F,F,0.58,0.58,0.64,0.54,0.69,0.53,0.53,0.53,0.84,F,F,F,0.83,0.83,0.79,0.83,F,0.63,0.63,0.88,0.87,0.87,0.65,0.65,0.87,0.85,0.83,0.83,0.83,0.83,0.83,0.79,0.86,0.86,0.63,0.63,0.68,0.59,0.59,0.51,0.86,0.86,0.85,0.83,0.83,0.83,0.86,0.9,F,0.86,0.86,0.61,0.61,0.62,0.56,0.56,0.57,0.86,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.82,F,F,0.89,0.76,0.62,F,0.84,0.85,0.85,0.86,0.81,0.81,0.86,0.86,0.9,0.9,0.56,0.82,0.82,0.88,0.57,0.62,F,0.84,F,0.81,0.81,0.81,0.81,0.77,0.83,0.84,0.83,0.68,0.48,0.48,0.7,F,0.57,0.39,0.86,F,F,0.78,0.83,0.83,0.83,0.83,0.83,0.83,0.55,0.48,0.48,0.53,F,F,F,0.87,0.85,0.85,0.78,0.78,0.82,0.82,0.82,0.83,0.86,0.55,0.67,0.67,0.52,0.6,F,F,0.85,0.85,0.85,0.83,0.83,0.83,0.9,0.9,0.82,0.78,0.87,0.88,0.68,0.61,0.57,0.59,0.85,0.85,0.84,0.84,0.84,0.9,0.91,0.91,0.9,0.89,0.9,0.72,0.73,0.68,0.61,0.59,0.59,0.86,0.85,0.85,F,0.89,0.9,0.89,F,0.81,0.88,0.89,0.57,0.73,0.68,0.68,0.56,0.87,0.82,0.82,0.85,0.83,F,0.86,0.88,0.89,0.88,0.88,0.89,0.48,0.57,0.6,0.6,F,0.87,0.87,F,0.85,F,F,0.86,0.88,F,F,F,0.9,0.65,0.57,0.58,0.56,F,0.87,F,F,F,0.82,0.82,0.87,0.89,F,F,0.9,0.9,F,0.88,0.65,0.58,0.6,0.87,F,F,F,F,F,F,0.89,F,F,F,0.9,F,0.87,0.64,0.64,0.74,0.87,F,F,F,F,F,F,F,F,F,F,0.87
MOD15A2H.A2010217.h10v09.006.2021168133149.Fpar_500m,MOD15A2H,A2010217,Lat-3.834436Lon-73.31897Samp17Line17,2021168133149,0.88,0.87,F,0.49,0.57,0.66,0.64,F,F,F,F,F,0.85,0.88,0.88,0.89,0.89,0.88,0.87,F,0.65,0.59,0.67,0.67,0.68,0.68,0.65,0.61,0.89,0.89,0.88,0.89,0.89,0.89,0.88,0.88,F,0.63,0.63,0.9,0.9,0.9,0.64,0.62,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.89,0.75,0.63,0.79,0.73,0.78,0.71,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.69,0.69,0.58,0.73,0.73,0.69,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.66,0.56,F,0.85,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.5,0.85,0.89,0.89,0.66,0.59,F,0.79,F,0.79,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.5,0.5,0.5,0.8,F,0.58,0.54,0.88,F,F,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.54,0.54,0.57,0.59,F,F,F,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.54,0.54,0.54,0.57,0.65,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.51,0.51,0.55,0.64,0.86,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.79,0.53,0.58,0.58,0.58,0.6,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.69,0.63,0.75,0.58,0.6,0.86,0.9,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.6,0.69,0.5,0.5,F,0.85,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.75,0.51,0.54,0.54,F,0.85,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.52,0.55,0.55,0.85,0.89,0.89,0.88,0.89,0.89,0.88,0.88,0.89,0.89,0.89,0.89,0.9,0.9,0.51,0.51,0.54,0.89,0.89,0.89,0.88,0.89,0.89,0.88,0.88,0.89,0.89,0.89,0.89
MOD15A2H.A2010225.h10v09.006.2021169034001.Fpar_500m,MOD15A2H,A2010225,Lat-3.834436Lon-73.31897Samp17Line17,2021169034001,0.84,0.81,F,0.62,0.73,0.77,0.75,F,F,F,F,F,0.83,0.85,0.85,0.85,0.86,0.84,0.84,F,0.6,0.7,0.77,0.58,0.76,0.77,0.76,0.64,0.89,0.87,0.84,0.85,0.85,F,0.84,0.85,F,0.71,0.75,0.88,0.88,0.88,0.68,0.76,0.88,0.86,0.86,F,0.85,0.79,F,0.86,0.85,0.87,0.7,0.7,0.75,0.73,0.73,0.66,0.88,0.87,0.86,0.86,0.86,0.85,F,F,0.86,0.88,0.89,0.65,0.65,0.63,0.64,0.64,0.66,0.87,0.87,0.85,0.85,0.86,0.85,F,F,0.85,0.88,0.89,0.88,0.76,0.66,F,0.88,0.87,0.86,0.79,0.79,0.86,0.86,0.86,F,F,0.68,0.88,0.88,0.88,0.64,0.64,F,0.88,F,0.74,0.73,0.73,0.86,0.86,0.86,F,F,0.7,0.6,0.61,0.67,F,0.65,0.48,0.82,F,F,0.73,0.73,0.86,0.87,0.87,F,F,0.75,0.65,0.66,0.63,F,F,F,0.88,0.87,0.85,0.77,0.86,0.85,0.78,F,F,F,0.77,0.75,0.67,0.6,0.67,F,F,0.87,0.81,0.78,0.77,0.85,0.85,F,F,F,F,0.88,0.88,0.77,0.65,0.52,0.63,0.87,0.87,0.77,0.77,0.77,0.85,0.86,F,F,F,F,0.75,0.76,0.76,0.69,0.68,0.66,0.88,0.8,0.77,0.77,0.77,0.85,F,F,F,F,F,0.65,0.65,0.65,0.73,0.68,0.88,0.88,0.8,0.77,0.77,0.77,0.85,F,F,F,F,F,0.55,0.67,0.67,0.61,F,0.88,0.84,0.8,0.77,0.87,0.85,0.85,F,0.88,0.88,0.89,0.89,0.75,0.64,0.66,0.57,F,0.88,0.85,0.77,0.77,0.87,0.85,0.85,F,0.89,0.89,0.89,0.89,0.89,0.89,0.66,0.66,0.64,0.89,0.88,0.77,F,0.85,F,F,F,0.89,F,F,F,0.88,0.89,0.71,0.79,0.79,0.88,0.77,0.77,0.77,0.85,F,F,F,0.9,0.9,F,F
MOD15A2H.A2010233.h10v09.006.2021169184020.Fpar_500m,MOD15A2H,A2010233,Lat-3.834436Lon-73.31897Samp17Line17,2021169184020,0.88,0.89,F,0.61,0.17,0.69,0.38,F,F,F,F,F,F,0.88,0.89,0.89,0.89,0.89,0.89,F,0.64,0.17,0.17,0.61,0.18,0.18,0.18,0.66,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,F,0.65,0.17,0.9,0.9,0.9,0.18,0.18,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.65,0.17,0.17,0.65,0.65,0.67,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,F,0.44,0.59,0.59,0.59,0.59,0.63,0.9,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.17,0.59,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.59,0.9,0.9,0.9,0.13,0.13,F,F,F,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.33,0.69,0.59,0.59,F,0.57,0.55,0.9,F,F,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.57,0.57,0.57,0.54,F,F,F,0.9,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.65,0.71,0.71,0.57,0.59,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.59,0.64,0.54,0.54,F,0.9,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.67,0.67,0.61,0.61,0.25,0.51,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.41,0.78,0.65,0.65,0.32,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.55,0.35,0.53,0.47,F,F,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.54,0.34,0.29,0.6,F,F,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.34,0.29,0.51,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.47,0.47,0.55,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
MOD15A2H.A2010241.h10v09.006.2021172024502.Fpar_500m,MOD15A2H,A2010241,Lat-3.834436Lon-73.31897Samp17Line17,2021172024502,F,F,F,0.26,0.26,0.26,0.34,F,F,F,F,F,F,0.89,0.89,0.9,0.9,0.9,0.9,F,0.26,0.26,0.34,0.66,0.34,0.3,0.3,0.32,F,0.9,0.9,0.9,0.9,0.9,0.89,0.89,F,0.23,0.23,F,F,F,0.3,0.3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,F,0.23,0.23,0.26,0.26,0.26,0.26,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,F,0.18,0.18,0.24,0.24,0.26,0.26,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,F,0.19,0.24,F,F,F,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.9,0.18,0.9,0.9,F,0.24,0.18,F,F,F,0.87,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.18,0.18,0.24,0.24,F,0.24,0.47,F,F,F,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.17,0.17,0.19,0.19,F,F,F,0.9,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.17,0.17,0.19,0.19,0.19,F,F,0.9,0.89,0.89,0.89,0.9,0.9,0.9,0.89,0.89,0.9,0.9,F,0.18,0.18,0.54,0.21,F,0.9,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.9,0.19,0.17,0.18,0.18,0.18,0.19,F,0.9,0.89,0.89,0.89,0.9,0.9,0.9,0.89,0.9,0.9,0.19,0.19,0.18,0.18,0.18,0.9,0.9,0.9,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.89,0.89,0.55,0.18,0.18,0.18,F,0.9,0.9,0.9,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.21,0.19,0.19,0.54,F,0.9,0.9,0.9,0.89,0.89,0.9,0.9,0.9,0.9,0.89,0.9,0.9,F,F,0.19,0.19,0.19,F,F,0.9,0.89,0.9,0.9,0.89,0.9,0.9,0.9,0.9,0.9,F,F,0.19,0.19,0.19,F,F,0.9,0.89,0.9,0.9,0.89,0.89,0.89,0.9,0.89,0.89
MOD15A2H.A2010249.h10v09.006.2021172153306.Fpar_500m,MOD15A2H,A2010249,Lat-3.834436Lon-73.31897Samp17Line17,2021172153306,0.88,0.88,F,0.64,0.47,0.47,0.51,F,F,F,F,F,0.89,0.89,0.88,0.88,0.89,0.88,0.85,F,0.48,0.54,0.44,0.65,0.51,0.51,0.51,0.67,0.89,0.88,0.9,0.9,0.89,0.89,0.88,0.86,F,0.57,0.44,F,0.9,0.89,0.51,0.53,0.9,0.9,0.9,0.89,0.89,0.89,0.9,F,0.89,0.88,0.67,0.64,0.74,0.76,0.81,0.51,F,F,0.89,0.89,0.89,0.9,0.89,0.89,0.85,0.9,0.83,0.68,0.68,0.64,0.61,0.74,0.64,0.85,0.9,0.9,0.89,0.89,0.9,0.9,0.89,0.86,0.84,0.9,0.9,0.49,0.61,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.6,0.84,0.9,0.9,0.63,0.63,F,F,F,0.67,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.67,0.48,0.47,0.47,F,0.47,0.42,F,F,F,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.51,0.6,0.47,0.68,F,F,F,0.9,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.83,0.75,0.66,0.47,0.69,F,F,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.45,0.45,0.59,0.64,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.8,0.47,0.73,0.45,0.49,0.49,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.51,0.57,0.73,0.74,0.53,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.89,0.89,0.89,0.66,0.79,0.71,0.45,F,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,F,0.89,0.89,0.84,0.79,0.45,0.5,F,0.9,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.83,0.83,0.89,0.89,0.89,0.9,0.46,0.45,0.52,0.9,0.89,0.89,0.89,0.89,0.9,0.9,0.89,0.9,0.9,0.89,0.89,0.9,0.89,0.45,0.45,0.52,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89
